solo_found_prob,sold_out_expansion_premium,outside_wage,seed,pop_250,emp_250,firms_250,wage_250,crent_250,rrent_250,pop_500,emp_500,firms_500,wage_500,crent_500,rrent_500,emp_rate_500,feasible
0.01,0.25,6.0,12,80,19,6,6.0,9.00992157143806,1.0128028411943903,93,21,6,6.460128729949425,6.534982160844768,1.0130751097407442,0.22580645161290322,false
0.02,0.25,6.0,12,102,23,6,6.0,10.988738377456,1.0298662681037745,95,30,10,7.078361356586987,12.022266808968883,1.0081024605608353,0.3157894736842105,true
0.05,0.25,6.0,12,129,31,10,7.1465931857613025,6.444070267018106,1.0325103270770244,132,29,9,6.706486896131468,11.86723880998589,1.0142777001088987,0.2196969696969697,false
0.01,0.5,6.0,12,97,22,7,6.2926855432555495,16.852147028373068,1.0197425013695884,92,23,6,6.0,25.736938620977845,1.0099721360845542,0.25,true
0.02,0.5,6.0,12,128,23,7,6.436336400077756,9.789523039503372,1.028018773228079,124,21,7,6.348680940940859,5.5166517391450824,1.0132764447418632,0.1693548387096774,false
0.05,0.5,6.0,12,135,27,8,6.560689459533633,13.604272822930488,1.0291953558006928,130,25,10,7.009880227930539,7.586793753436697,1.009875017213307,0.19230769230769232,false
0.01,1.0,6.0,12,104,22,7,6.342762651627833,15.803417387999884,1.0248533230470824,84,21,7,6.328256018059898,8.209128443382816,1.0110575612270658,0.25,true
0.02,1.0,6.0,12,111,22,8,6.717923461793382,9.683993871017583,1.0203918397059835,123,39,8,6.349528361034656,14.354582809729623,1.017123869624295,0.3170731707317073,true
0.05,1.0,6.0,12,129,31,9,6.558971852217222,11.563265595031725,1.0308809967629657,135,26,8,6.600427682778871,7.040408129729208,1.0147344098594135,0.1925925925925926,false
0.01,0.25,8.0,12,142,34,11,8.672773601359768,13.686096530990442,1.0677650230555094,129,28,9,8.44963110515415,17.71236261343532,1.0266495786096,0.21705426356589147,false
0.02,0.25,8.0,12,149,28,12,8.84986931007054,13.512307171693031,1.058895329202444,290,82,29,9.03421458085074,12.783051211637087,1.075380103523697,0.2827586206896552,true
0.05,0.25,8.0,12,262,70,26,9.14948937523607,13.213117448632294,1.139082703279309,2735,915,270,9.40111638936114,7.688935560023119,2.319452819384941,0.33455210237659966,true
0.01,0.5,8.0,12,126,34,10,8.555195933859569,14.582284943511878,1.041891947963321,105,25,9,8.47274755142164,13.079791354624186,1.012973077694145,0.23809523809523808,false
0.02,0.5,8.0,12,173,32,13,8.935487087717231,13.392378852497824,1.0711886607719876,260,63,26,9.080587113695527,14.046561739985702,1.067195282659374,0.2423076923076923,false
0.05,0.5,8.0,12,323,92,39,9.512552666256052,10.697988806704965,1.220173418200038,14837,6454,635,8.968525437551461,17.644081361700763,2.87130247711864,0.43499359708836016,true
0.01,1.0,8.0,12,141,33,7,8.183963590244366,7.926209993842249,1.0602374766720548,122,30,8,8.340528717482112,14.51244913030491,1.0236836536448775,0.2459016393442623,false
0.02,1.0,8.0,12,323,83,28,9.048347853388305,11.15894895927371,1.1832982073719807,3128,1117,185,9.036479053579356,12.914827765253651,2.348265141771998,0.3570971867007673,true
0.05,1.0,8.0,12,499,167,57,9.238038522803675,11.164330952997643,1.3251695095206204,72650,12514,1120,8.953992896522323,34.31121382084874,3.0188343543175984,0.1722505161734343,false
0.01,0.25,10.0,12,109,36,13,9.940597621515508,16.52458787838104,1.0428403600916119,133,34,15,10.105970165923706,12.234126071931222,1.0332523266078082,0.2556390977443609,true
0.02,0.25,10.0,12,316,98,38,10.215928124396251,10.742305452374021,1.2700815021970868,2579,827,224,10.011448769016804,8.796479008151687,2.807997715413462,0.32066692516479256,true
0.05,0.25,10.0,12,342,97,41,10.019493953947581,11.915723767471114,1.3253960794160133,12714,4673,757,10.053801984364984,14.39403533957603,3.19795831134339,0.3675475853389964,true
0.01,0.5,10.0,12,187,53,18,9.94906181045367,12.325795448679504,1.1382064255197462,322,84,24,9.988959547970556,20.264773843262912,1.1598760750733927,0.2608695652173913,false
0.02,0.5,10.0,12,266,86,32,9.958514163562358,16.659169824089364,1.195642257724862,4851,1765,384,10.015194398951262,9.401333858225078,3.023950397942224,0.36384250669964957,true
0.05,0.5,10.0,12,385,125,48,10.012309863485797,10.662825670516224,1.355241276747262,46720,14530,1189,10.107642420493189,26.05174395383098,3.297798450753532,0.3110017123287671,true
0.01,1.0,10.0,12,160,35,13,10.049555052298606,20.467099540341238,1.101242465550853,307,88,27,10.102766313685784,17.261374070464566,1.1678492689099482,0.28664495114006516,true
0.02,1.0,10.0,12,380,118,42,10.049597296330653,9.638037632839096,1.3179488979187264,19412,7918,824,10.016567182868588,19.502909150362633,3.2120663789446398,0.40789202555120546,true
0.05,1.0,10.0,12,731,284,94,10.022163950590889,7.296804411703101,1.7771853085548632,122185,17257,1429,10.063514583736387,49.35483886239903,3.3125426717676256,0.14123664934320906,false
0.01,0.25,6.0,42,74,21,7,6.434077326000379,10.94438098768282,1.0169095490302231,97,22,7,6.3441507408139595,13.530541196407048,1.0109949890890113,0.2268041237113402,false
0.02,0.25,6.0,42,96,26,7,6.2957373098979525,18.842175745302256,1.0252870147970474,108,27,10,6.909249644255559,12.773621794950047,1.0141240619564986,0.25,true
0.05,0.25,6.0,42,106,23,7,6.391942557576312,4.282259624097818,1.0274685197956022,120,25,9,6.951891629671942,8.424191615692338,1.0240344614763406,0.20833333333333334,false
0.01,0.5,6.0,42,73,20,6,6.0,13.149793399246507,1.020703544559871,104,22,7,6.420626525944342,13.946754373591059,1.0116940779882388,0.21153846153846154,false
0.02,0.5,6.0,42,105,22,7,6.3363325276459594,6.495363115391842,1.027626015279452,94,18,6,6.0,9.630311847794346,1.0125858824655427,0.19148936170212766,false
0.05,0.5,6.0,42,146,25,9,6.9462618521953745,8.49476184364421,1.0425466430210448,134,22,8,6.770636266995106,10.294817936869444,1.0186520127899505,0.16417910447761194,false
0.01,1.0,6.0,42,94,24,7,6.278822320206683,12.644056121841322,1.0186971104885687,98,19,6,6.0,9.355883174970801,1.0120828653316447,0.19387755102040816,false
0.02,1.0,6.0,42,108,36,10,6.718599934221706,9.451031098168507,1.0297727084048787,110,30,11,7.11008082016146,6.65350539064876,1.0159854680822322,0.2727272727272727,true
0.05,1.0,6.0,42,134,30,11,7.498481007393195,7.415086984608735,1.0273980157174682,111,18,6,6.0,10.463530229578776,1.0116763454792443,0.16216216216216217,false
0.01,0.25,8.0,42,112,35,11,8.62979069657663,28.509731332322566,1.0498899223283307,124,24,7,8.25741406400591,11.122684005072157,1.0167986894012888,0.1935483870967742,false
0.02,0.25,8.0,42,128,41,15,8.764268723089884,21.843250156447468,1.0658721975841403,262,79,28,9.016414306711258,14.237672437097793,1.1057290307236742,0.3015267175572519,true
0.05,0.25,8.0,42,192,51,22,8.9243132871875,12.600318680678159,1.0944819630981528,938,266,95,9.488609000722915,8.030869332603661,1.614940689035646,0.2835820895522388,true
0.01,0.5,8.0,42,119,31,10,8.466244337576606,25.538013415821464,1.042325003051779,134,28,7,8.183206483433244,20.638151129812925,1.0250792248646905,0.208955223880597,false
0.02,0.5,8.0,42,134,31,11,8.386753808523345,19.199162764320977,1.058760718496767,367,86,37,9.291277287704746,11.799975446518351,1.1294445840209262,0.23433242506811988,false
0.05,0.5,8.0,42,225,63,28,9.250176703345252,12.68893375311334,1.1112800776156115,1986,670,187,9.324322631817772,8.318583173600697,2.238213715328943,0.337361530715005,true
0.01,1.0,8.0,42,132,36,13,8.737664849362035,12.150132558373928,1.0575858868076382,92,23,7,8.222322779871991,17.767642792628997,1.017505345833553,0.25,true
0.02,1.0,8.0,42,164,53,20,9.042065520084908,16.673943691484045,1.0748626655104963,238,44,15,8.772147868693956,8.848935073670358,1.0587373069691848,0.18487394957983194,false
0.05,1.0,8.0,42,299,90,30,9.018108355598946,14.13778175668335,1.1512782314503125,14096,6217,534,8.780346165768387,17.516744232776787,2.8096310683227355,0.4410471055618615,true
0.01,0.25,10.0,42,124,29,7,9.967179785549956,21.03431754547506,1.0771086456377699,168,30,10,9.896004605656417,7.437949612101725,1.056738921424395,0.17857142857142858,false
0.02,0.25,10.0,42,281,94,41,10.046922061203773,11.643315882136132,1.2772124550864374,2791,942,255,10.016201624686401,8.4922122754394,2.843070195688726,0.3375134360444285,true
0.05,0.25,10.0,42,450,146,65,9.938720406049198,12.212205391802174,1.406478165154652,21869,8575,949,10.116921078436594,19.366288414849745,3.2887242805588945,0.3921075494992912,true
0.01,0.5,10.0,42,109,36,12,9.898484936586804,46.226925646947336,1.0618475324084808,169,63,15,10.039246927932124,19.912777688199455,1.0448977062274512,0.3727810650887574,true
0.02,0.5,10.0,42,180,57,22,9.953546770068813,18.978643499091017,1.1119315750514993,2415,809,188,10.031534673707327,9.843871479794045,2.8363895901941354,0.3349896480331263,true
0.05,0.5,10.0,42,531,189,68,10.093092283295658,9.851122157508879,1.5762487345152953,71472,15116,1423,10.103050000493704,36.02745233340492,3.3133213532445365,0.21149541079023954,false
0.01,1.0,10.0,42,202,70,15,10.099988861654442,25.209137914265327,1.1618908726197832,538,131,37,10.01575972563746,16.091264292813072,1.285900176086185,0.24349442379182157,false
0.02,1.0,10.0,42,317,102,37,10.025293076767056,11.267489766669037,1.2167206019369812,5910,2126,410,10.004746573603251,9.634684017466075,3.042834363518218,0.35972927241962777,true
0.05,1.0,10.0,42,710,241,77,9.984209056248655,8.956161219168283,1.758292892380646,117691,18515,1502,10.050268885867633,43.58882728924129,3.291063709643393,0.1573187414500684,false
0.01,0.25,6.0,77,90,18,6,6.0,9.960441604653505,1.0201474902139478,98,27,9,6.829491605976254,5.2868093608046145,1.0089032153976976,0.2755102040816326,true
0.02,0.25,6.0,77,126,24,8,6.6511183049325275,11.102661985852075,1.0254909845636693,88,23,8,6.761614322770079,6.121465142794326,1.0075721022084378,0.26136363636363635,true
0.05,0.25,6.0,77,127,28,10,7.027671884099471,8.872395904977562,1.0335003559300038,121,28,11,7.281629990294206,10.299388848836301,1.017220941202569,0.23140495867768596,false
0.01,0.5,6.0,77,88,22,7,6.287628839542703,9.88956329410057,1.0218733021126039,89,23,8,6.406012323100937,5.775864782533261,1.0078257204762704,0.25842696629213485,true
0.02,0.5,6.0,77,116,24,8,6.70284050313182,4.196144258147145,1.0203030181277493,97,24,8,6.815651507613569,6.578750532431212,1.0146195911754388,0.24742268041237114,false
0.05,0.5,6.0,77,116,21,7,6.339539496310449,8.94420211885371,1.0293011450562701,121,36,11,7.128117972495535,8.204432784509654,1.019191078137391,0.2975206611570248,true
0.01,1.0,6.0,77,99,28,8,6.628290886833975,8.382512857849102,1.0212032048987305,92,24,8,6.509496288638825,7.486478132318405,1.010766333250314,0.2608695652173913,true
0.02,1.0,6.0,77,168,39,11,7.151348012124902,12.501466834101835,1.0409757467737306,122,28,8,6.505525468427844,24.233880548155653,1.0103673934323711,0.22950819672131148,false
0.05,1.0,6.0,77,147,45,10,6.792614798760544,11.240839228607266,1.0381258233571102,156,26,9,6.9625723622846305,8.459934685162914,1.0174148093983924,0.16666666666666666,false
0.01,0.25,8.0,77,100,22,9,8.411030860180256,11.273052558542577,1.0362311311499295,97,21,7,8.283628871779134,3.711259631769332,1.0143894992830422,0.21649484536082475,false
0.02,0.25,8.0,77,170,41,14,8.656212405014523,23.11603145493598,1.0923185806228222,451,118,44,9.174960416330512,10.268710450351639,1.1955911453593262,0.2616407982261641,true
0.05,0.25,8.0,77,259,65,27,8.931417844384276,12.151352036273213,1.1378040922689563,1923,579,187,9.195404561121423,8.034431139740427,2.208706118069335,0.30109204368174725,true
0.01,0.5,8.0,77,93,23,6,8.0,15.985520994926912,1.0280212805225784,123,25,8,8.374883602259729,12.601580420704833,1.026804403702312,0.2032520325203252,false
0.02,0.5,8.0,77,168,46,20,9.128844619222773,12.198582653629765,1.0733689250361584,339,64,27,9.117777083321911,11.97192467113301,1.113973540193214,0.1887905604719764,false
0.05,0.5,8.0,77,272,87,34,9.161479901113859,10.185230958322347,1.170204355603004,6836,2534,399,9.078709488026645,11.900387969341862,2.6995757060424097,0.37068461088355764,true
0.01,1.0,8.0,77,144,31,10,8.427000101132714,11.160493315593422,1.0555107348590385,114,27,9,8.37327990248799,9.547768237448325,1.0254949001699576,0.23684210526315788,false
0.02,1.0,8.0,77,257,70,24,8.94011299680252,13.86678154124329,1.1487062567685489,2140,662,134,8.918843339789827,11.13137519328883,2.198243255258308,0.30934579439252335,true
0.05,1.0,8.0,77,298,91,32,9.176550083022088,11.473536811577558,1.153432694105424,10630,4601,447,8.829700627248043,15.88825834270454,2.7813914404990054,0.43283160865475073,true
0.01,0.25,10.0,77,117,46,15,10.066488589579558,19.553003949977867,1.0697250216255507,163,52,20,10.089320285915118,13.854819251600478,1.0518944726459707,0.31901840490797545,true
0.02,0.25,10.0,77,208,66,25,10.068391180221811,15.333804130183495,1.1467649250308467,1187,370,119,10.072953814717723,9.417336664749515,2.0937955398300736,0.3117101937657961,true
0.05,0.25,10.0,77,563,174,66,10.057849302544367,9.598157010693898,1.5990082952686757,51703,16411,1272,10.280474834049745,34.122150787227774,3.442496273843113,0.3174090478308802,true
0.01,0.5,10.0,77,142,35,14,10.011777769001364,10.716788642630348,1.0937137975138391,118,31,9,9.99340313293976,15.94803207049196,1.015053443389405,0.2627118644067797,false
0.02,0.5,10.0,77,319,117,38,10.108199855349989,11.167422159150128,1.2382917709744587,6054,2148,406,10.021544107474522,11.305757137562102,3.0587279566171555,0.354806739345887,true
0.05,0.5,10.0,77,608,205,76,9.94005194468254,8.65956955613889,1.6418349751329913,85317,15412,1399,10.128113143393955,37.083447585713806,3.3286939999011484,0.18064395138131908,false
0.01,1.0,10.0,77,161,49,13,9.949550304762424,13.97966583836471,1.0902784016475897,207,55,19,9.919949402208193,13.73161426542804,1.067185438654783,0.26570048309178745,false
0.02,1.0,10.0,77,354,121,40,10.041815742185827,14.672097467036785,1.2951403067401352,9053,3490,524,9.99641667374515,13.845931700479897,3.1369120426997985,0.38550756655252405,false
0.05,1.0,10.0,77,649,246,89,9.964211068002799,9.00739426688153,1.6891288077665938,110071,17595,1487,10.046860798993329,40.137370473420575,3.2746432674275887,0.1598513686620454,false
